Account ID,Account Name,Region,Industry,Tier,CSM Owner,FDE Pod,ARR ($),Contract Start,Renewal Date,Last EBR Date,Action Due Date,Renewal Status,Payment Status,Committed Conversations,Consumed Conversations,Containment %,Bot CSAT,Live Use Cases,Contracted Use Cases,Channels Live,Primary Use Case,Champion Status,Exec Sponsor Engaged,Key Stakeholders,Health Reason,Internal Blockers,External Blockers,Next Action,Action Owner,Blocker Type,Health,Expansion Stage,Expansion Value
ACC-1013,Fernbridge Bank,MEA,Healthcare,Enterprise,Fatima Sheikh,Pod Alpha,249290,2025-03-11,2027-03-14,2026-02-18,2026-08-03,Likely,Current,332844,223461,78%,67,7,8,2,Claims Assist,Active,Y,"Amara Okafor, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",Budget issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Amara Okafor,Budget,,None,0
ACC-1014,Tidewater Insurance,EMEA,EdTech,Strategic,Wei Zhang,Pod Delta,426762,2025-08-10,2026-08-22,2026-01-28,2026-08-24,At Risk,Current,152154,147800,51%,55,0,5,4,Lead Qualification,Active,N,"Priya Nair, VP Ops; Daniel Ortiz, IT Director","Tracking to plan, no material concerns this quarter.",Customer IT issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Customer IT,,Qualified,12225
ACC-1015,Ridgeline Logistics,NA,Healthcare,Strategic,Wei Zhang,Pod Alpha,1088673,2024-05-03,2027-02-22,2026-05-16,2026-08-03,At Risk,Late - 30 days,298748,305809,52%,57,3,3,2,Claims Assist,Departed,Y,"Liam Chen, VP Ops; Daniel Ortiz, IT Director",Champion left the org; relationship needs to be re-established.,Integration issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Liam Chen,Integration,,None,0
ACC-1016,Sable Retail,MEA,Telecom,Growth,Daniel Ortiz,Pod Alpha,66997,2024-04-11,2026-07-08,2026-01-07,2026-08-12,Churned,Current,180220,165542,44%,63,3,3,2,Lead Qualification,At Risk,Y,"Fatima Sheikh, VP Ops; Daniel Ortiz, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,None,,Identified,193389
ACC-1017,Lumen Travel,LATAM,Retail,Growth,Daniel Ortiz,Pod Delta,79668,2025-08-10,2026-12-28,2026-05-30,2026-08-30,Churned,Current,390440,186760,84%,80,2,7,3,Order Tracking,At Risk,N,"Wei Zhang, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,None,,None,0
ACC-1018,Copperfield BFSI,APAC,Logistics,Tech-touch,Sofia Rossi,Pod Alpha,18118,2026-02-17,2026-07-22,2026-05-04,2026-08-04,Churned,Current,38516,24451,68%,69,7,8,4,HR Helpdesk,Active,N,"Liam Chen, VP Ops; Sofia Rossi, IT Director","Tracking to plan, no material concerns this quarter.",Product Gap issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Product Gap,,Proposed,36332
ACC-1019,Wrenfield EdTech,EMEA,Travel,Enterprise,Wei Zhang,Pod Delta,374094,2024-06-08,2026-08-20,2026-04-16,2026-08-29,Churned,Current,196252,92820,46%,89,5,5,4,Voice IVR Deflection,Active,Y,"Fatima Sheikh, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",Product Gap issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Fatima Sheikh,Product Gap,Green,None,0
ACC-1020,Ironvale Insurance,MEA,Insurance,Strategic,Wei Zhang,Pod Bravo,1156818,2026-01-31,2027-07-28,2026-05-25,2026-07-22,Committed,Current,267100,144252,59%,86,1,5,1,HR Helpdesk,Active,N,"Amara Okafor, VP Ops; Priya Nair, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Amara Okafor,None,,Identified,60315
ACC-1021,Coral Bay Airlines,MEA,Logistics,Tech-touch,Priya Nair,Pod Alpha,17177,2025-01-22,2027-07-12,2026-05-27,2026-07-20,Churned,Current,336677,179418,72%,61,2,8,1,Claims Assist,Active,N,"Amara Okafor, VP Ops; Sofia Rossi, IT Director","Tracking to plan, no material concerns this quarter.",Customer IT issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Daniel Ortiz,Customer IT,Red,Identified,123839
ACC-1022,Ashgrove Telecom,MEA,BFSI,Enterprise,Amara Okafor,Pod Bravo,337231,2026-06-18,2027-03-18,2026-04-24,2026-08-05,Churned,Current,87790,58630,94%,67,3,3,1,HR Helpdesk,Active,N,"Fatima Sheikh, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",Scope issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Liam Chen,Scope,,None,0
ACC-1023,Brightwater Bank,APAC,Healthcare,Growth,Liam Chen,Pod Alpha,117232,2025-04-22,2027-06-17,2026-01-29,2026-07-15,Committed,Current,68562,64718,89%,92,1,2,3,Order Tracking,Active,Y,"Amara Okafor, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",Product Gap issue flagged by CSM during last EBR.,,Schedule overdue EBR and confirm renewal path.,Fatima Sheikh,Product Gap,Amber,None,0
ACC-1024,Foxglove Retail,NA,EdTech,Strategic,Liam Chen,Pod Charlie,670713,2025-01-21,2026-12-16,2026-03-17,2026-08-24,Committed,Current,296179,108624,38%,77,1,2,1,Voice IVR Deflection,Active,N,"Amara Okafor, VP Ops; Wei Zhang, IT Director",Containment has slipped well below target for two consecutive months.,Adoption issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Adoption,,Qualified,168683
ACC-1025,Glacier Logistics,LATAM,Insurance,Enterprise,Priya Nair,Pod Alpha,188622,2024-12-07,2027-02-26,2026-03-05,2026-08-13,Likely,Late - 30 days,217588,139524,91%,82,7,7,2,Voice IVR Deflection,Active,N,"Fatima Sheikh, VP Ops; Amara Okafor, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Priya Nair,None,,None,0
ACC-1026,Marlowe Health,APAC,Telecom,Tech-touch,Priya Nair,Pod Charlie,39834,2024-04-03,2026-12-19,2026-06-10,2026-08-01,At Risk,Current,366467,237199,79%,89,1,3,3,HR Helpdesk,Active,Y,"Daniel Ortiz, VP Ops; Amara Okafor, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,None,Red,None,0
ACC-1027,Nimbus EdTech,MEA,Insurance,Growth,Fatima Sheikh,Pod Charlie,121360,2025-02-23,2026-09-27,2026-02-25,2026-08-12,Churned,Current,224835,208930,89%,95,4,5,3,HR Helpdesk,At Risk,N,"Wei Zhang, VP Ops; Wei Zhang, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Amara Okafor,None,Green,Identified,152949
ACC-1028,Petrel Insurance,NA,Retail,Tech-touch,Priya Nair,Pod Bravo,26117,2024-02-06,2027-08-10,2026-03-08,2026-08-09,Likely,Current,337770,117462,65%,96,1,3,4,WhatsApp Support Bot,At Risk,N,"Liam Chen, VP Ops; Daniel Ortiz, IT Director",Usage is significantly under committed volume.,,,Prepare QBR deck and confirm expansion scope.,Daniel Ortiz,None,Red,None,0
ACC-1029,Quarrystone BFSI,APAC,EdTech,Enterprise,Amara Okafor,Pod Delta,362198,2026-05-08,2027-08-15,2026-02-07,2026-08-30,Committed,Current,270515,269558,53%,96,2,4,3,WhatsApp Support Bot,Active,Y,"Liam Chen, VP Ops; Amara Okafor, IT Director","Tracking to plan, no material concerns this quarter.",Integration issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Liam Chen,Integration,,None,0
ACC-1030,Redshank Travel,EMEA,EdTech,Growth,Daniel Ortiz,Pod Bravo,123896,2026-06-05,2027-02-28,2026-01-28,2026-07-24,In Negotiation,Current,177007,79658,80%,72,2,2,1,HR Helpdesk,Departed,N,"Priya Nair, VP Ops; Amara Okafor, IT Director",Champion left the org; relationship needs to be re-established.,Budget issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Budget,Red,Identified,109683
ACC-1031,Sundew Retail,LATAM,Logistics,Tech-touch,Sofia Rossi,Pod Delta,27596,2024-08-29,2026-09-30,2026-03-07,2026-07-28,In Negotiation,Current,193183,74547,54%,55,1,4,2,WhatsApp Support Bot,Active,Y,"Liam Chen, VP Ops; Sofia Rossi, IT Director",Usage is significantly under committed volume.,Competitive issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Fatima Sheikh,Competitive,,Qualified,163512
ACC-1032,Thornfield Telecom,NA,Logistics,Strategic,Daniel Ortiz,Pod Alpha,498504,2025-05-22,2026-11-29,2026-05-10,2026-07-20,Committed,Current,354339,272884,57%,58,2,4,2,Order Tracking,Active,N,"Priya Nair, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,None,Green,Identified,195417
ACC-1033,Umberleaf Health,EMEA,EdTech,Growth,Liam Chen,Pod Delta,122394,2024-03-15,2027-02-09,2026-04-05,2026-08-29,At Risk,Current,292521,206176,71%,87,1,3,2,Lead Qualification,Active,Y,"Priya Nair, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,None,,None,0
ACC-1034,Vantage Logistics,LATAM,Insurance,Enterprise,Liam Chen,Pod Charlie,255208,2026-06-03,2027-01-11,2026-02-13,2026-08-31,Churned,Current,195494,159936,64%,92,5,5,3,Voice IVR Deflection,Active,Y,"Sofia Rossi, VP Ops; Wei Zhang, IT Director","Tracking to plan, no material concerns this quarter.",Customer IT issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Priya Nair,Customer IT,,Qualified,145316
ACC-1035,Willowmere Bank,LATAM,Logistics,Strategic,Wei Zhang,Pod Delta,607075,2024-10-06,2026-12-27,2026-01-06,2026-08-13,At Risk,Current,88950,85277,43%,85,3,4,2,Booking Assistant,Active,Y,"Liam Chen, VP Ops; Wei Zhang, IT Director","Tracking to plan, no material concerns this quarter.",Budget issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Budget,,Qualified,22259
ACC-1036,Xenon Insurance,MEA,Travel,Enterprise,Sofia Rossi,Pod Alpha,156502,2024-07-27,2026-07-19,2026-02-19,2026-08-30,Committed,Current,40949,43397,58%,92,2,3,2,Claims Assist,At Risk,Y,"Daniel Ortiz, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,None,,Proposed,48105
ACC-1037,Yarrow EdTech,APAC,Healthcare,Growth,Priya Nair,Pod Delta,135095,2024-05-29,2027-05-17,2026-06-25,2026-08-13,In Negotiation,Current,376371,360161,38%,81,3,6,2,Lead Qualification,Active,Y,"Wei Zhang, VP Ops; Liam Chen, IT Director",Containment has slipped well below target for two consecutive months.,Budget issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Budget,Red,Identified,153069
ACC-1038,Zephyr Airlines,LATAM,Healthcare,Enterprise,Priya Nair,Pod Charlie,425359,2025-11-13,2027-06-19,2026-04-22,2026-08-17,At Risk,Current,301065,239518,93%,68,3,8,3,Lead Qualification,Departed,Y,"Liam Chen, VP Ops; Fatima Sheikh, IT Director",Champion left the org; relationship needs to be re-established.,Adoption issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Adoption,,Proposed,34489
ACC-1039,Alderwood BFSI,MEA,Insurance,Growth,Daniel Ortiz,Pod Charlie,129588,2025-10-06,2027-06-22,2026-03-01,2026-08-21,Committed,Current,242900,255650,42%,70,2,2,1,Claims Assist,Active,Y,"Priya Nair, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",Scope issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Scope,,Identified,188957
